1990,1,1,3.58617,193.3397227,6.12944,,
1990,1,2,0.176783,109.6473645,5.20822,,
1990,1,3,1.38683,105.7104562,5.0146,,
1990,1,4,0,102.2014856,4.06299,,
1990,1,5,0,125.3321622,3.23863,,
1990,1,6,4.77629,116.8002088,3.92396,,
1990,1,7,3.51423,103.6666587,4.99568,,
1990,1,8,0.0069925,124.1972487,5.005,,
1990,1,9,0,206.9908482,4.15047,,
1990,1,10,0,218.7515429,3.39195,,
1990,1,11,0,189.397454,1.63492,,
1990,1,12,0,149.9646414,2.56566,,
1990,1,13,0,113.6110748,1.63754,,
1990,1,14,1.64711,86.65337781,1.81178,,
1990,1,15,0.527218,70.85690531,4.4043,,
1990,1,16,0,69.42657469,3.66088,,
1990,1,17,6.48066,75.05974854,2.15667,,
1990,1,18,0.63984,104.8477313,2.56954,,
1990,1,19,0,172.0414059,3.05068,,
1990,1,20,0,229.9595219,2.02201,,
1990,1,21,0,215.9093452,2.65059,,
1990,1,22,0,170.9517578,2.08908,,
1990,1,23,0,129.0865196,2.92413,,
1990,1,24,0.113321,97.67701899,7.48229,,
1990,1,25,1.32706,76.25273302,9.11166,,
1990,1,26,0.214981,71.55941414,7.10028,,
1990,1,27,5.35468,84.01100354,7.46317,,
1990,1,28,0.659282,113.2965986,4.31811,,
1990,1,29,1.3865,173.9020567,2.43651,,
1990,1,30,0,211.3610547,5.83417,,
1990,1,31,4.057,196.0264691,5.75552,,
1990,2,1,1.06104,186.295873,4.0186,,
1990,2,2,0.590603,196.3355849,8.45465,,
1990,2,3,0.322461,199.9130493,6.75885,,
1990,2,4,0,186.092476,6.00459,,
1990,2,5,0,161.2926336,6.49031,,
1990,2,6,0.875686,132.987692,8.05928,,
1990,2,7,0.000273635,108.708403,9.21769,,
1990,2,8,0.752343,93.16654895,8.82873,,
1990,2,9,0,82.06696892,9.95815,,
1990,2,10,2.13914,76.8316551,9.93932,,
1990,2,11,5.59133,75.72145885,5.78705,,
1990,2,12,5.43278,125.4971431,8.71078,,
1990,2,13,0.379036,243.6332802,10.0294,,
1990,2,14,0,319.1516398,8.24204,,
